,PLAYER,TEAM,AGE,GP,MIN,SCREEN_AST,DEFL,LB_REC,CHARGES_DRAWN,CONT_2PT,CONT_3PT,CONT_ALL
360,Marreese Speights,ORL,30,52,13.0,0.9,0.3,0.3,0.37,3.3,1.1,4.3
361,Marshall Plumlee,MIL,25,8,6.0,1.0,0.4,0.1,0.00,2.4,0.1,2.5
362,Marvin Williams,CHA,32,78,26.0,1.2,1.7,0.6,0.00,4.7,2.3,7.0
363,Mason Plumlee,DEN,28,74,19.0,2.0,1.7,0.7,0.09,5.7,1.5,7.2
364,Matt Costello,SAS,24,4,8.0,1.0,0.5,0.0,0.00,1.8,0.5,2.3
365,Matt Williams Jr.,MIA,24,3,4.0,0.0,0.7,0.0,0.00,0.3,0.0,0.3
366,Matthew Dellavedova,MIL,27,38,19.0,0.6,0.6,0.6,0.11,2.0,1.9,4.0
367,Maurice Harkless,POR,25,59,21.0,0.2,1.5,0.6,0.00,3.5,1.9,5.4
368,Maxi Kleber,DAL,26,72,17.0,1.4,0.8,0.4,0.04,4.9,1.9,6.8
369,Meyers Leonard,POR,26,33,8.0,1.1,0.3,0.2,0.00,1.9,0.8,2.7
370,Michael Beasley,NYK,29,74,22.0,1.1,1.3,0.7,0.00,3.3,2.2,5.5
371,Michael Carter-Williams,CHA,26,52,16.0,0.2,1.4,0.9,0.02,2.6,1.5,4.2
372,Michael Kidd-Gilchrist,CHA,24,74,25.0,0.2,1.1,0.9,0.07,4.4,3.0,7.5
373,Mike Conley,MEM,30,12,31.0,0.5,2.2,0.8,0.25,3.3,3.1,6.3
374,Mike James,NOP,27,36,19.0,0.0,1.5,0.8,0.00,2.3,1.4,3.7
375,Mike Muscala,ATL,26,53,20.0,1.5,0.9,0.4,0.00,6.2,2.6,8.8
376,Mike Scott,WAS,29,76,19.0,0.9,0.4,0.5,0.01,3.0,1.9,5.0
377,Miles Plumlee,ATL,29,55,17.0,3.0,0.7,0.5,0.04,6.1,1.1,7.2
378,Milos Teodosic,LAC,31,45,25.0,0.4,1.3,0.9,0.18,3.0,2.0,5.0
379,Milton Doyle,BKN,24,10,12.0,0.0,0.6,1.3,0.00,1.5,1.0,2.5
380,Mindaugas Kuzminskas,NYK,28,1,2.0,-,-,-,-,-,-,-
381,Mirza Teletovic,MIL,32,10,16.0,0.1,0.2,0.3,0.20,2.7,1.6,4.3
382,Monte Morris,DEN,23,3,8.0,0.3,1.7,1.0,0.00,1.0,0.7,1.7
383,Montrezl Harrell,LAC,24,76,17.0,1.5,0.9,0.6,0.14,5.2,2.4,7.6
384,Myke Henry,MEM,25,20,19.0,0.0,2.1,0.9,0.00,2.1,2.9,5.0
385,Myles Turner,IND,22,65,28.0,4.0,1.6,0.8,0.05,7.8,2.3,10.0
386,Nate Wolters,UTA,27,5,4.0,0.0,0.4,0.0,0.00,0.2,0.0,0.2
387,Naz Mitrou-Long,UTA,24,1,1.0,-,-,-,-,-,-,-
388,Nemanja Bjelica,MIN,30,67,20.0,0.4,1.3,0.6,0.03,4.2,2.5,6.7
389,Nene,HOU,35,52,15.0,2.0,1.4,0.5,0.04,3.5,1.9,5.4
390,Nerlens Noel,DAL,24,30,16.0,1.5,2.1,0.6,0.07,4.9,1.3,6.2
391,Nick Collison,OKC,37,15,5.0,0.9,0.2,0.1,0.07,1.5,0.1,1.7
392,Nick Young,GSW,33,80,17.0,0.4,0.8,0.6,0.03,1.8,1.6,3.4
393,Nicolas Batum,CHA,29,64,31.0,0.3,1.5,1.1,0.02,3.8,2.9,6.6
394,Nicolas Brussino,ATL,25,4,2.0,0.0,0.3,0.0,0.00,0.3,0.3,0.5
395,Nigel Hayes,SAC,23,9,14.0,0.6,0.8,0.6,0.00,2.1,0.8,2.9
396,Nik Stauskas,BKN,24,41,13.0,0.0,0.5,0.3,0.00,1.9,1.1,3.0
397,Nikola Jokic,DEN,23,75,33.0,4.3,2.5,1.2,0.11,9.5,3.1,12.6
398,Nikola Mirotic,NOP,27,55,27.0,0.8,1.7,1.2,0.07,5.8,3.3,9.1
399,Nikola Vucevic,ORL,27,57,30.0,3.7,1.9,0.6,0.02,8.1,1.7,9.8
400,Noah Vonleh,CHI,22,54,16.0,0.9,0.6,0.7,0.02,3.5,1.5,5.1
401,Norman Powell,TOR,25,70,15.0,0.1,1.1,0.4,0.01,1.4,1.2,2.5
402,OG Anunoby,TOR,20,74,20.0,0.1,1.3,0.6,0.03,3.0,2.2,5.2
403,Okaro White,CLE,25,6,13.0,0.3,0.5,0.3,0.33,2.7,1.2,3.8
404,Omari Johnson,MEM,29,4,19.0,1.8,1.5,0.5,0.00,2.0,2.3,4.3
405,Omer Asik,CHI,31,18,10.0,2.4,0.2,0.1,0.00,3.0,0.7,3.7
406,Omri Casspi,GSW,30,53,14.0,0.2,0.6,0.3,0.00,2.5,1.0,3.6
407,Otto Porter Jr.,WAS,25,77,32.0,0.6,2.9,1.2,0.01,3.2,2.3,5.5
408,PJ Dozier,OKC,21,2,2.0,0.0,0.0,0.0,0.00,1.0,0.0,1.0
409,PJ Tucker,HOU,33,82,28.0,1.3,1.6,1.2,0.13,3.9,2.7,6.7
410,Pascal Siakam,TOR,24,81,21.0,1.0,1.4,1.0,0.00,4.2,2.2,6.4
411,Pat Connaughton,POR,25,82,18.0,0.2,0.6,0.6,0.01,3.0,1.9,4.9
412,Patrick Beverley,LAC,29,11,30.0,0.1,2.3,1.9,0.45,2.5,2.1,4.5
413,Patrick McCaw,GSW,22,57,17.0,0.2,1.3,0.6,0.05,1.9,1.2,3.2
414,Patrick Patterson,OKC,29,82,15.0,1.0,0.9,0.3,0.02,3.6,1.5,5.0
415,Patty Mills,SAS,29,82,26.0,0.2,1.3,0.9,0.04,1.6,1.6,3.1
416,Pau Gasol,SAS,37,77,24.0,2.4,0.4,0.6,0.03,8.9,1.2,10.1
417,Paul George,OKC,28,79,37.0,0.3,3.9,1.8,0.06,4.2,3.9,8.0
418,Paul Millsap,DEN,33,38,30.0,0.8,2.2,1.3,0.24,7.2,3.5,10.6
419,Paul Zipser,CHI,24,54,15.0,0.2,0.7,0.4,0.00,3.1,1.9,5.1
420,Quincy Acy,BKN,27,70,19.0,1.5,1.4,0.4,0.30,4.5,1.6,6.1
421,Quincy Pondexter,CHI,30,23,9.0,0.1,0.5,0.3,0.04,0.9,0.7,1.6
422,Quinn Cook,GSW,25,33,22.0,0.3,0.5,0.7,0.00,1.6,1.6,3.2
423,RJ Hunter,HOU,24,5,9.0,0.0,1.2,0.6,0.00,0.2,0.8,1.0
424,Rajon Rondo,NOP,32,65,26.0,0.6,2.0,1.2,0.03,1.4,1.9,3.3
425,Ramon Sessions,WAS,32,28,14.0,0.1,0.8,0.5,0.00,0.5,1.1,1.7
426,Rashad Vaughn,ORL,21,28,8.0,0.0,0.3,0.3,0.00,0.9,0.5,1.4
427,Raul Neto,UTA,26,41,12.0,0.2,0.5,0.6,0.07,2.1,1.5,3.6
428,Raymond Felton,OKC,34,82,17.0,0.2,1.1,0.8,0.02,1.7,1.6,3.3
429,Reggie Bullock,DET,27,62,28.0,0.2,1.2,0.9,0.03,2.7,2.8,5.5
430,Reggie Hearn,DET,26,3,2.0,0.0,0.0,0.0,0.00,0.3,0.0,0.3
431,Reggie Jackson,DET,28,45,27.0,0.3,1.3,1.0,0.09,2.3,3.0,5.3
432,Richard Jefferson,DEN,38,20,8.0,0.1,0.3,0.3,0.00,1.0,1.2,2.2
433,Richaun Holmes,PHI,24,48,16.0,1.6,0.8,0.5,0.00,4.3,1.5,5.8
434,Ricky Rubio,UTA,27,77,29.0,0.2,3.0,1.5,0.10,2.9,2.2,5.1
435,Robert Covington,PHI,27,80,32.0,0.4,3.9,1.3,0.01,4.3,3.6,7.9
436,Robin Lopez,CHI,30,64,26.0,4.1,0.3,0.6,0.02,9.3,1.8,11.1
437,Rodney Hood,CLE,25,60,27.0,0.2,1.1,0.7,0.03,3.0,2.2,5.2
438,Rodney McGruder,MIA,26,18,17.0,0.1,1.0,0.6,0.00,1.6,1.9,3.5
439,Rodney Purvis,ORL,24,16,18.0,0.1,0.9,0.4,0.00,1.1,1.6,2.7
440,Ron Baker,NYK,25,29,13.0,0.3,1.7,0.6,0.00,1.4,1.0,2.4
441,Rondae Hollis-Jefferson,BKN,23,68,28.0,1.7,1.9,0.9,0.01,6.4,2.2,8.6
442,Royce O'Neale,UTA,25,69,17.0,0.1,1.0,0.6,0.00,2.1,1.4,3.5
443,Rudy Gay,SAS,31,57,22.0,0.5,1.6,1.0,0.05,3.9,2.6,6.6
444,Rudy Gobert,UTA,26,56,32.0,6.2,1.5,0.8,0.00,12.8,2.3,15.0
445,Russell Westbrook,OKC,29,80,36.0,0.1,3.3,2.1,0.06,1.9,1.6,3.5
446,Ryan Anderson,HOU,30,66,26.0,1.1,0.6,0.6,0.09,4.8,2.1,6.9
447,Ryan Arcidiacono,CHI,24,24,13.0,0.1,0.8,0.3,0.17,0.5,1.3,1.8
448,Salah Mejri,DAL,32,61,12.0,2.2,0.6,0.5,0.18,5.0,1.1,6.0
449,Sam Dekker,LAC,24,73,12.0,0.3,0.6,0.5,0.00,2.3,1.1,3.3
450,Scotty Hopson,DAL,28,1,8.0,0.0,1.0,1.0,0.00,1.0,0.0,1.0
451,Sean Kilpatrick,CHI,28,52,12.0,0.1,0.5,0.5,0.00,0.8,0.8,1.6
452,Semi Ojeleye,BOS,23,73,16.0,0.2,0.6,0.3,0.10,2.6,1.8,4.4
453,Serge Ibaka,TOR,28,76,28.0,1.4,0.8,0.6,0.03,6.4,2.6,9.0
454,Shabazz Muhammad,MIL,25,43,10.0,0.1,0.4,0.3,0.05,0.9,0.9,1.9
455,Shabazz Napier,POR,26,74,21.0,0.1,2.0,0.8,0.03,1.9,1.7,3.7
456,Shane Larkin,BOS,25,54,14.0,0.0,1.0,0.6,0.11,1.3,1.3,2.6
457,Shaquille Harrison,PHX,24,23,17.0,0.2,2.1,0.9,0.00,2.5,2.1,4.6
458,Shaun Livingston,GSW,32,71,16.0,0.4,0.8,0.5,0.00,2.2,1.3,3.6
459,Shelvin Mack,ORL,28,69,20.0,0.1,1.6,0.8,0.04,2.1,2.4,4.5
460,Sindarius Thornwell,LAC,23,73,16.0,0.1,1.1,0.6,0.05,2.4,1.9,4.4
461,Skal Labissiere,SAC,22,60,21.0,1.2,0.6,0.8,0.03,5.0,2.9,7.8
462,Solomon Hill,NOP,27,12,16.0,0.5,0.4,0.9,0.00,2.8,1.5,4.3
463,Spencer Dinwiddie,BKN,25,80,29.0,0.5,1.6,1.0,0.03,3.5,2.1,5.6
464,Stanley Johnson,DET,22,69,27.0,0.1,2.1,1.0,0.00,2.9,2.3,5.2
465,Stephen Curry,GSW,30,51,32.0,0.7,2.7,1.7,0.08,2.3,2.3,4.6
466,Sterling Brown,MIL,23,54,14.0,0.1,0.9,0.7,0.00,1.5,1.6,3.1
467,Steven Adams,OKC,24,76,33.0,4.9,2.3,1.4,0.00,9.6,3.8,13.4
468,T.J. McConnell,PHI,26,76,22.0,0.2,2.3,1.1,0.01,2.1,1.6,3.7
469,TJ Leaf,IND,21,53,9.0,0.3,0.2,0.2,0.00,1.8,1.1,2.8
470,TJ Warren,PHX,24,65,33.0,0.1,1.9,1.3,0.00,3.3,3.1,6.4
471,Taj Gibson,MIN,33,82,33.0,2.5,1.3,1.1,0.00,6.4,4.2,10.6
472,Tarik Black,HOU,26,51,11.0,1.6,0.7,0.5,0.02,3.3,1.2,4.5
473,Taurean Prince,ATL,24,82,30.0,0.2,1.8,1.1,0.11,3.8,2.8,6.6
474,Terrance Ferguson,OKC,20,61,13.0,0.1,0.7,0.4,0.00,1.9,1.2,3.1
475,Terrence Ross,ORL,27,24,25.0,0.1,2.1,0.9,0.00,3.0,2.0,5.0
476,Terry Rozier,BOS,24,80,26.0,0.3,1.5,1.0,0.04,1.9,2.2,4.0
477,Thabo Sefolosha,UTA,34,38,21.0,0.4,2.2,0.7,0.00,3.0,2.5,5.5
478,Thaddeus Young,IND,30,81,32.0,1.3,3.6,1.5,0.17,5.8,4.7,10.5
479,Thomas Bryant,LAL,20,15,5.0,0.5,0.2,0.3,0.00,1.5,0.3,1.9
480,Thon Maker,MIL,21,74,17.0,1.6,0.9,0.6,0.00,6.2,1.5,7.7
481,Tim Frazier,WAS,27,59,14.0,0.1,1.1,0.6,0.14,1.2,1.6,2.9
482,Tim Hardaway Jr.,NYK,26,57,33.0,0.2,1.5,1.2,0.21,3.0,3.6,6.6
483,Tim Quarterman,HOU,23,3,4.0,0.0,0.0,0.0,0.00,0.3,0.7,1.0
484,Timofey Mozgov,BKN,31,31,12.0,1.4,0.2,0.3,0.03,4.7,1.0,5.7
485,Timothe Luwawu-Cabarrot,PHI,23,52,16.0,0.1,0.7,0.5,0.00,2.3,1.8,4.0
486,Tobias Harris,LAC,25,80,33.0,1.3,1.5,1.1,0.01,5.9,3.8,9.7
487,Tomas Satoransky,WAS,26,73,23.0,0.1,1.4,0.9,0.07,2.7,2.1,4.8
488,Tony Allen,NOP,36,22,12.0,0.1,0.9,0.6,0.00,1.3,1.4,2.6
489,Tony Bradley,UTA,20,9,3.0,0.1,0.0,0.0,0.00,0.6,1.2,1.8
490,Tony Parker,SAS,36,55,19.0,0.1,0.6,0.6,0.02,1.1,1.4,2.6
491,Tony Snell,MIL,26,75,27.0,0.2,1.3,0.7,0.00,3.3,2.5,5.7
492,Torrey Craig,DEN,27,39,16.0,0.1,0.4,0.4,0.00,2.8,1.9,4.7
493,Travis Wear,LAL,27,17,13.0,0.5,0.5,0.4,0.00,3.0,1.9,4.9
494,Treveon Graham,CHA,24,63,17.0,0.2,0.8,0.8,0.10,1.8,1.6,3.5
495,Trevor Ariza,HOU,33,67,34.0,0.3,2.9,1.0,0.03,2.6,2.5,5.1
496,Trevor Booker,IND,30,68,17.0,1.8,0.8,0.7,0.04,2.9,1.9,4.8
497,Trey Burke,NYK,25,36,22.0,0.2,1.0,0.9,0.00,1.8,1.7,3.5
498,Trey Lyles,DEN,22,73,19.0,0.9,0.6,0.5,0.05,4.2,2.2,6.4
499,Trey McKinney-Jones,IND,27,1,1.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0
500,Tristan Thompson,CLE,27,53,20.0,3.4,0.5,0.9,0.00,6.1,2.4,8.5
501,Troy Daniels,PHX,26,79,21.0,0.2,0.9,0.5,0.03,2.2,1.9,4.1
502,Troy Williams,NYK,23,21,15.0,0.1,1.7,0.5,0.00,0.9,1.3,2.2
503,Tyler Cavanaugh,ATL,24,39,13.0,1.7,0.5,0.4,0.10,2.8,1.2,4.0
504,Tyler Dorsey,ATL,22,56,17.0,0.0,0.7,0.6,0.00,1.7,1.7,3.4
505,Tyler Ennis,LAL,23,54,13.0,0.0,0.7,0.6,0.02,1.7,1.2,2.9
506,Tyler Johnson,MIA,26,72,29.0,0.3,1.5,0.9,0.08,4.7,2.9,7.6
507,Tyler Lydon,DEN,22,1,2.0,0.0,0.0,0.0,0.00,0.0,1.0,1.0
508,Tyler Ulis,PHX,22,71,23.0,0.2,2.0,0.9,0.04,2.1,1.7,3.7
509,Tyler Zeller,MIL,28,66,17.0,2.0,0.4,0.4,0.11,6.9,1.4,8.3
510,Tyreke Evans,MEM,28,52,31.0,0.1,1.9,1.3,0.00,2.6,3.3,5.8
511,Tyrone Wallace,LAC,24,30,28.0,0.2,1.8,1.3,0.00,4.3,3.5,7.8
512,Tyson Chandler,PHX,35,46,25.0,4.0,0.7,0.5,0.02,6.3,0.9,7.2
513,Tyus Jones,MIN,22,82,18.0,0.1,1.9,0.8,0.09,1.6,1.9,3.5
514,Udonis Haslem,MIA,38,14,5.0,0.4,0.0,0.3,0.14,1.2,0.4,1.6
515,Vander Blue,LAL,25,5,9.0,0.2,0.6,0.0,0.00,1.0,0.8,1.8
516,Victor Oladipo,IND,26,75,34.0,0.1,3.8,1.6,0.16,4.0,4.8,8.8
517,Vince Carter,SAC,41,58,18.0,0.5,1.1,0.7,0.03,2.0,2.0,4.0
518,Vincent Hunter,MEM,23,4,2.0,0.0,0.0,0.0,0.00,0.5,0.5,1.0
519,Wade Baldwin IV,POR,22,7,11.0,0.6,0.7,0.3,0.00,1.4,0.7,2.1
520,Walter Lemon Jr.,NOP,25,5,7.0,0.0,0.0,0.0,0.00,1.4,0.2,1.6
521,Wayne Ellington,MIA,30,77,27.0,0.6,1.1,0.8,0.00,2.2,2.7,4.9
522,Wayne Selden,MEM,23,35,20.0,0.1,1.0,0.7,0.00,1.6,2.0,3.6
523,Wes Iwundu,ORL,23,62,16.0,0.1,0.8,0.5,0.05,1.8,1.7,3.5
524,Wesley Johnson,LAC,30,74,20.0,0.1,2.0,0.5,0.01,3.5,2.1,5.6
525,Wesley Matthews,DAL,31,63,34.0,0.2,1.9,1.3,0.06,2.7,3.0,5.7
526,Will Barton,DEN,27,81,33.0,0.1,1.8,1.0,0.00,3.4,2.7,6.1
527,Willie Cauley-Stein,SAC,24,73,28.0,3.2,1.9,1.0,0.12,6.2,3.1,9.3
528,Willie Reed,DET,28,42,10.0,0.9,0.4,0.3,0.29,3.4,0.5,3.9
529,Willy Hernangomez,CHA,24,48,10.0,1.6,0.8,0.4,0.00,3.2,0.9,4.0
530,Wilson Chandler,DEN,31,74,32.0,0.2,1.0,1.1,0.00,3.8,3.0,6.8
531,Xavier Munford,MIL,26,6,3.0,0.0,0.3,0.3,0.00,0.5,0.0,0.5
532,Xavier Rathan-Mayes,MEM,24,5,24.0,0.2,2.0,0.8,0.00,3.2,3.4,6.6
533,Xavier Silas,BOS,30,2,4.0,0.0,0.5,0.0,0.00,0.5,0.5,1.0
534,Yogi Ferrell,DAL,25,82,28.0,0.1,1.4,1.1,0.15,2.4,2.6,5.0
535,Zach Collins,POR,20,66,16.0,1.4,0.3,0.3,0.02,4.6,1.7,6.3
536,Zach LaVine,CHI,23,24,27.0,0.1,1.6,0.7,0.00,1.4,2.0,3.4
537,Zach Randolph,SAC,36,59,26.0,1.5,1.2,0.7,0.00,3.8,2.4,6.2
538,Zaza Pachulia,GSW,34,69,14.0,2.7,1.4,0.5,0.00,4.2,1.4,5.6
539,Zhou Qi,HOU,22,18,7.0,0.3,0.4,0.1,0.00,2.5,0.8,3.3
