,PLAYER,DREB,CONTEST_DREB%,DEFER_DREB_CHANCE,AVG_DREB_DIST
271,Josh Hart,3.5,24.4,0.5,6.7
272,Josh Huestis,1.8,24.6,0.3,6.2
273,Josh Jackson,3.3,18.8,0.4,6.9
274,Josh Magette,0.9,17.6,0.1,10.2
275,Josh McRoberts,0.0,0.0,0.0,0.0
276,Josh Richardson,2.6,13.3,0.4,9.0
277,Josh Smith,0.3,100,0.0,2.0
278,Jrue Holiday,3.7,19.7,0.5,8.6
279,Juancho Hernangomez,1.4,33.3,0.3,4.5
280,Julius Randle,5.8,27.5,0.6,5.2
281,Julyan Stone,1.2,14.3,0.0,6.1
282,Justin Anderson,1.8,23.9,0.3,7.0
283,Justin Holiday,3.6,13.8,0.5,7.2
284,Justin Jackson,2.4,16.9,0.1,7.3
285,Justin Patton,0.0,0.0,0.0,0.0
286,Justise Winslow,4.5,32.2,0.8,5.4
287,Jusuf Nurkic,6.6,36.0,0.9,3.9
288,Kadeem Allen,0.4,14.3,0.1,7.8
289,Karl-Anthony Towns,9.4,37.6,0.9,4.4
290,Kawhi Leonard,4.0,25.0,0.2,8.2
291,Kay Felder,0.9,13.3,0.0,9.9
292,Kelly Olynyk,4.5,33.6,0.5,4.9
293,Kelly Oubre Jr.,3.8,25.7,0.3,5.3
294,Kemba Walker,2.7,10.6,0.7,9.6
295,Kendrick Perkins,1.0,0.0,1.0,3.7
296,Kenneth Faried,2.7,36.5,0.2,5.1
297,Kent Bazemore,3.4,18.6,0.7,6.7
298,Kentavious Caldwell-Pope,4.4,16.2,0.6,7.1
299,Kevin Durant,6.3,27.1,0.5,6.2
300,Kevin Love,7.5,31.9,0.5,4.4
301,Kevon Looney,2.0,41.7,0.2,6.0
302,Khem Birch,2.6,32.7,0.2,4.7
303,Khris Middleton,4.7,20.9,0.5,6.9
304,Klay Thompson,3.4,25.4,0.5,7.6
305,Kobi Simmons,1.1,5.6,0.2,9.1
306,Kosta Koufos,4.5,32.2,0.3,4.1
307,Kris Dunn,3.8,15.7,0.9,6.8
308,Kristaps Porzingis,5.3,29.9,0.5,4.9
309,Kyle Anderson,4.2,20.5,0.4,6.3
310,Kyle Collinsworth,2.3,16.0,0.2,5.5
311,Kyle Korver,2.1,23.1,0.4,7.7
312,Kyle Kuzma,5.1,23.8,0.7,5.2
313,Kyle Lowry,4.7,15.2,0.7,7.7
314,Kyle O'Quinn,4.5,38.8,0.4,4.1
315,Kyle Singler,0.5,0.0,0.0,6.9
316,Kyrie Irving,3.2,14.8,0.6,8.9
317,LaMarcus Aldridge,5.2,32.4,0.7,6.3
318,Lance Stephenson,4.4,15.7,0.3,5.5
319,Lance Thomas,1.8,20.2,0.2,8.7
320,Langston Galloway,1.4,8.9,0.2,9.5
321,Larry Drew II,0.0,0.0,0.1,0.0
322,Larry Nance Jr.,4.4,30.9,0.4,5.5
323,Lauri Markkanen,6.3,23.8,0.5,5.4
324,LeBron James,7.5,20.4,0.4,5.7
325,London Perrantes,0.2,33.3,0.1,9.6
326,Lonzo Ball,5.6,17.9,0.5,6.9
327,Lorenzo Brown,1.0,35.7,0.2,6.5
328,Lou Williams,2.0,13.3,0.2,11.1
329,Luc Mbah a Moute,2.7,39.5,0.8,7.2
330,Lucas Nogueira,1.4,29.0,0.3,5.1
331,Luis Montero,1.0,100,0.5,3.3
332,Luke Babbitt,1.8,26.4,0.3,6.1
333,Luke Kennard,2.1,16.1,0.3,8.6
334,Luke Kornet,2.7,39.6,0.5,5.5
335,Luol Deng,0.0,0.0,1.0,0.0
336,Malachi Richardson,1.1,24.1,0.2,5.1
337,Malcolm Brogdon,2.7,19.7,0.4,7.5
338,Malcolm Delaney,1.7,16.7,0.2,8.7
339,Malcolm Miller,0.7,18.2,0.1,8.5
340,Malik Beasley,0.9,19.3,0.1,7.8
341,Malik Monk,0.9,13.8,0.1,9.5
342,Mangok Mathiang,1.8,28.6,0.5,4.6
343,Manu Ginobili,1.9,25.2,0.2,7.3
344,MarShon Brooks,1.9,0.0,0.3,7.7
345,Marc Gasol,7.1,33.2,0.7,4.5
346,Marcin Gortat,5.4,23.1,0.9,4.2
347,Marco Belinelli,1.6,13.4,0.2,8.1
348,Marcus Georges-Hunt,0.2,22.2,0.1,8.6
349,Marcus Morris,4.6,22.2,0.4,5.5
350,Marcus Paige,0.8,0.0,0.0,9.6
351,Marcus Smart,2.7,25.0,0.4,7.9
352,Mario Chalmers,2.2,12.6,0.3,9.2
353,Mario Hezonja,3.2,21.3,0.3,5.7
354,Markel Brown,1.0,25.0,0.0,5.5
355,Markelle Fultz,2.3,15.6,0.2,7.8
356,Markieff Morris,4.6,27.8,0.4,5.8
357,Marquese Chriss,4.4,30.4,0.5,4.4
358,Marquis Teague,1.7,0.0,0.0,10.7
359,Marreese Speights,2.2,34.8,0.3,4.9
360,Marshall Plumlee,1.6,46.2,0.0,4.4
361,Marvin Williams,3.8,19.3,0.4,7.0
362,Mason Plumlee,3.6,29.5,0.4,4.6
363,Matt Costello,2.0,50.0,0.3,5.0
364,Matt Williams Jr.,0.3,0.0,0.0,3.7
365,Matthew Dellavedova,1.3,18.8,0.3,8.8
366,Maurice Harkless,2.0,29.3,0.3,6.4
367,Maxi Kleber,2.3,34.4,0.3,5.2
368,Meyers Leonard,1.8,27.6,0.2,4.7
369,Michael Beasley,4.3,28.8,0.3,4.5
370,Michael Carter-Williams,1.9,13.9,0.3,7.5
371,Michael Kidd-Gilchrist,2.9,20.6,0.5,8.3
372,Mike Conley,2.2,4.2,0.6,11.1
373,Mike James,2.1,9.1,0.4,9.8
374,Mike Muscala,3.3,38.5,0.4,5.2
375,Mike Scott,2.6,23.9,0.2,6.1
376,Miles Plumlee,2.7,32.5,0.8,4.9
377,Milos Teodosic,2.4,13.6,0.4,8.3
378,Milton Doyle,1.5,6.7,0.5,6.8
379,Mindaugas Kuzminskas,0.0,0.0,1.0,0.0
380,Mirza Teletovic,1.9,5.9,0.1,4.8
381,Monte Morris,0.7,0.0,0.0,16.7
382,Montrezl Harrell,2.7,35.5,0.3,5.8
383,Myke Henry,1.4,25.0,0.6,7.1
384,Myles Turner,5.0,39.8,0.7,4.4
385,Nate Wolters,0.2,0.0,0.0,0.0
386,Naz Mitrou-Long,0.0,0.0,0.0,0.0
387,Nemanja Bjelica,3.3,30.3,0.4,5.8
388,Nene,2.4,28.3,0.4,4.8
389,Nerlens Noel,4.0,34.2,0.6,3.9
390,Nick Collison,0.8,0.0,0.1,4.6
391,Nick Young,1.3,20.2,0.2,8.9
392,Nicolas Batum,3.9,16.9,0.5,6.8
393,Nicolas Brussino,0.8,0.0,0.0,7.0
394,Nigel Hayes,2.0,33.3,0.0,7.0
395,Nik Stauskas,1.5,11.7,0.2,7.0
396,Nikola Jokic,8.1,32.9,0.6,4.2
397,Nikola Mirotic,6.3,23.4,0.5,5.2
398,Nikola Vucevic,7.4,37.2,0.6,3.9
399,Noah Vonleh,4.5,33.6,0.3,3.8
400,Norman Powell,1.5,19.0,0.2,6.3
401,OG Anunoby,1.9,22.9,0.3,6.3
402,Okaro White,1.3,37.5,0.2,5.7
403,Omari Johnson,1.8,14.3,0.5,8.3
404,Omer Asik,2.1,26.3,0.5,4.5
405,Omri Casspi,3.2,17.1,0.4,4.6
406,Otto Porter Jr.,5.1,23.7,0.4,6.6
407,PJ Dozier,0.5,0.0,0.0,6.6
408,PJ Tucker,4.4,25.3,0.5,6.1
409,Pascal Siakam,3.5,30.9,0.3,5.7
410,Pat Connaughton,1.5,16.0,0.3,8.1
411,Patrick Beverley,2.6,20.7,0.1,7.6
412,Patrick McCaw,1.2,18.2,0.1,7.9
413,Patrick Patterson,2.0,31.6,0.3,5.8
414,Patty Mills,1.6,8.6,0.2,11.6
415,Pau Gasol,6.4,33.3,0.6,4.0
416,Paul George,4.8,19.7,0.7,7.0
417,Paul Millsap,4.7,33.3,0.7,5.6
418,Paul Zipser,2.2,23.7,0.3,5.0
419,Quincy Acy,3.1,21.5,0.4,5.1
420,Quincy Pondexter,0.8,10.5,0.3,7.9
421,Quinn Cook,2.2,12.5,0.4,8.0
422,RJ Hunter,1.0,20.0,0.4,7.8
423,Rajon Rondo,3.6,10.9,0.3,8.4
424,Ramon Sessions,1.1,0.0,0.1,9.3
425,Rashad Vaughn,0.6,22.2,0.1,8.3
426,Raul Neto,1.0,4.8,0.2,9.9
427,Raymond Felton,1.6,17.5,0.3,8.9
428,Reggie Bullock,2.0,23.6,0.3,8.8
429,Reggie Hearn,0.0,0.0,0.0,0.0
430,Reggie Jackson,2.1,11.5,0.6,8.7
431,Richard Jefferson,0.8,20.0,0.3,6.9
432,Richaun Holmes,3.2,35.3,0.4,4.5
433,Ricky Rubio,4.0,14.0,0.5,8.6
434,Robert Covington,4.8,25.5,0.8,6.9
435,Robin Lopez,2.4,39.1,0.9,5.8
436,Rodney Hood,2.4,11.2,0.3,8.6
437,Rodney McGruder,1.2,4.5,0.2,6.2
438,Rodney Purvis,1.6,11.5,0.1,6.8
439,Ron Baker,0.9,16.7,0.1,9.9
440,Rondae Hollis-Jefferson,5.3,30.5,0.8,4.9
441,Royce O'Neale,3.1,30.3,0.4,5.3
442,Rudy Gay,3.8,27.4,0.6,5.1
443,Rudy Gobert,7.8,29.1,1.1,3.8
444,Russell Westbrook,8.1,15.7,0.5,6.7
445,Ryan Anderson,3.6,34.6,0.4,5.7
446,Ryan Arcidiacono,1.0,8.3,0.1,8.3
447,Salah Mejri,2.6,37.3,0.4,4.1
448,Sam Dekker,1.8,23.1,0.3,5.8
449,Scotty Hopson,0.0,0.0,0.0,0.0
450,Sean Kilpatrick,1.6,11.0,0.2,7.6
451,Semi Ojeleye,1.8,35.5,0.3,7.0
452,Serge Ibaka,5.3,26.0,0.7,4.2
453,Shabazz Muhammad,1.2,28.3,0.1,4.4
454,Shabazz Napier,1.9,8.3,0.5,8.5
455,Shane Larkin,1.5,14.7,0.2,8.4
456,Shaquille Harrison,2.3,19.2,0.2,8.9
457,Shaun Livingston,1.4,22.9,0.2,8.5
458,Shelvin Mack,2.1,10.5,0.3,9.4
459,Sindarius Thornwell,1.5,30.8,0.3,7.4
460,Skal Labissiere,3.2,30.7,0.6,5.4
461,Solomon Hill,2.3,18.5,0.3,8.4
462,Spencer Dinwiddie,2.7,13.1,0.3,8.3
463,Stanley Johnson,3.2,19.2,0.5,7.4
464,Stephen Curry,4.4,16.7,0.7,8.4
465,Sterling Brown,2.1,19.0,0.4,5.9
466,Steven Adams,4.0,36.9,0.7,5.4
467,T.J. McConnell,2.5,11.4,0.3,9.1
468,TJ Leaf,1.0,24.5,0.2,5.7
469,TJ Warren,3.2,31.7,0.3,8.3
470,Taj Gibson,4.8,25.1,0.5,5.6
471,Tarik Black,2.0,32.0,0.3,5.1
472,Taurean Prince,4.1,21.2,0.6,6.4
473,Terrance Ferguson,0.5,28.6,0.1,9.9
474,Terrence Ross,2.6,14.3,0.3,8.0
475,Terry Rozier,3.9,18.4,0.6,7.2
476,Thabo Sefolosha,3.5,28.0,0.4,5.9
477,Thaddeus Young,4.0,26.8,0.5,6.6
478,Thomas Bryant,0.9,42.9,0.1,4.5
479,Thon Maker,2.0,32.4,0.5,6.2
480,Tim Frazier,1.6,11.3,0.4,8.8
481,Tim Hardaway Jr.,3.4,10.9,0.5,8.3
482,Tim Quarterman,1.0,66.7,0.0,6.1
483,Timofey Mozgov,2.2,34.9,0.4,4.2
484,Timothe Luwawu-Cabarrot,1.1,15.5,0.3,8.5
485,Tobias Harris,4.7,25.1,0.7,5.8
486,Tomas Satoransky,2.2,17.4,0.3,9.1
487,Tony Allen,1.1,18.2,0.1,6.1
488,Tony Bradley,0.8,57.1,0.2,3.4
489,Tony Parker,1.6,10.2,0.2,10.0
490,Tony Snell,1.8,13.7,0.4,8.9
491,Torrey Craig,2.2,25.3,0.4,6.1
492,Travis Wear,2.2,36.8,0.4,6.6
493,Treveon Graham,1.3,25.3,0.3,8.6
494,Trevor Ariza,3.9,18.8,0.5,7.2
495,Trevor Booker,3.0,28.5,0.5,5.2
496,Trey Burke,1.6,12.1,0.3,9.9
497,Trey Lyles,4.0,26.7,0.4,4.6
498,Trey McKinney-Jones,0.0,0.0,0.0,0.0
499,Tristan Thompson,4.3,15.0,0.5,5.4
500,Troy Daniels,1.5,20.9,0.3,7.3
501,Troy Williams,2.0,19.5,0.1,5.6
502,Tyler Cavanaugh,2.1,25.0,0.2,4.9
503,Tyler Dorsey,2.0,11.5,0.3,7.2
504,Tyler Ennis,1.4,13.2,0.1,7.9
505,Tyler Johnson,3.0,20.5,0.5,7.4
506,Tyler Lydon,0.0,0.0,0.0,0.0
507,Tyler Ulis,1.5,10.6,0.3,11.3
508,Tyler Zeller,2.9,29.0,0.5,4.9
509,Tyreke Evans,4.2,19.9,0.5,7.7
510,Tyrone Wallace,2.8,16.7,0.4,8.6
511,Tyson Chandler,6.2,31.3,0.7,4.2
512,Tyus Jones,1.4,12.1,0.3,9.6
513,Udonis Haslem,0.5,14.3,0.1,5.0
514,Vander Blue,0.2,0.0,0.2,7.2
515,Victor Oladipo,4.6,22.4,0.6,6.7
516,Vince Carter,2.2,27.7,0.3,5.4
517,Vincent Hunter,0.3,100,0.0,5.7
518,Wade Baldwin IV,1.0,0.0,0.1,7.6
519,Walter Lemon Jr.,0.4,0.0,0.0,13.5
520,Wayne Ellington,2.5,11.9,0.3,8.4
521,Wayne Selden,1.1,27.5,0.1,10.8
522,Wes Iwundu,1.6,25.7,0.5,4.7
523,Wesley Johnson,2.5,23.0,0.3,7.2
524,Wesley Matthews,2.7,17.1,0.3,9.0
525,Will Barton,4.2,16.2,0.6,5.8
526,Willie Cauley-Stein,5.2,26.6,0.5,4.7
527,Willie Reed,2.0,31.4,0.3,4.8
528,Willy Hernangomez,2.5,31.1,0.4,4.1
529,Wilson Chandler,4.0,23.3,0.4,7.1
530,Xavier Munford,0.0,0.0,0.0,0.0
531,Xavier Rathan-Mayes,1.0,0.0,0.0,10.0
532,Xavier Silas,0.5,0.0,0.0,5.9
533,Yogi Ferrell,2.7,17.5,0.5,8.1
534,Zach Collins,2.7,31.8,0.3,5.1
535,Zach LaVine,3.5,18.8,0.3,6.7
536,Zach Randolph,5.1,27.0,0.6,4.3
537,Zaza Pachulia,3.3,26.5,0.4,4.3
538,Zhou Qi,0.9,50.0,0.1,4.7
